iter	Passed	Remaining
0	2	224
1	4	200
2	6	198
3	8	204
4	10	208
5	14	220
6	16	222
7	18	216
8	21	217
9	23	214
10	26	213
11	29	213
12	31	212
13	34	211
14	36	208
15	39	205
16	41	203
17	44	200
18	46	198
19	49	196
20	51	193
21	53	190
22	56	188
23	59	188
24	62	187
25	65	187
26	69	188
27	73	190
28	77	190
29	80	188
30	84	187
31	85	182
32	88	179
33	91	177
34	94	175
35	95	170
36	97	165
37	99	162
38	102	159
39	104	156
40	107	154
41	108	149
42	110	146
43	112	143
44	115	140
45	117	138
46	120	135
47	122	132
48	124	129
49	126	126
50	129	124
51	131	121
52	135	119
53	137	117
54	139	113
55	141	110
56	143	108
57	146	105
58	148	103
59	150	100
60	152	97
61	155	95
62	157	92
63	159	89
64	161	87
65	163	84
66	166	81
67	168	79
68	170	76
69	172	73
70	173	70
71	175	68
72	177	65
73	179	63
74	181	60
75	183	58
76	185	55
77	188	53
78	190	50
79	192	48
80	194	45
81	196	43
82	198	40
83	200	38
84	202	35
85	204	33
86	205	30
87	207	28
88	209	25
89	211	23
90	213	21
91	215	18
92	217	16
93	219	14
94	221	11
95	222	9
96	224	6
97	225	4
98	227	2
99	229	0
