iter	Passed	Remaining
0	171	170841
1	174	86940
2	176	58761
3	179	44588
4	181	36122
5	184	30499
6	186	26460
7	189	23473
8	192	21150
9	195	19341
10	198	17830
11	201	16630
12	204	15560
13	207	14621
14	209	13787
15	212	13098
16	216	12502
17	219	11951
18	221	11446
19	224	10992
20	226	10575
21	229	10201
22	232	9857
23	234	9555
24	237	9264
25	240	8998
26	242	8751
27	245	8533
28	249	8351
29	252	8153
30	255	7982
31	258	7807
32	262	7678
33	264	7516
34	266	7361
35	269	7219
36	272	7104
37	276	7002
38	279	6879
39	281	6757
40	283	6640
41	286	6529
42	289	6452
43	293	6369
44	296	6283
45	299	6217
46	303	6149
47	305	6060
48	307	5969
49	310	5891
50	313	5832
51	316	5773
52	319	5701
53	321	5639
54	324	5574
55	327	5514
56	329	5458
57	331	5390
58	334	5335
59	336	5277
60	339	5221
61	341	5163
62	343	5108
63	345	5054
64	347	4999
65	349	4946
66	351	4894
67	353	4843
68	355	4795
69	357	4747
70	359	4702
71	361	4657
72	363	4616
73	365	4570
74	367	4528
75	369	4486
76	370	4444
77	372	4408
78	374	4371
79	377	4335
80	379	4303
81	381	4268
82	382	4224
83	384	4190
84	386	4157
85	388	4128
86	390	4098
87	392	4069
88	394	4040
89	396	4012
90	398	3983
91	401	3958
92	403	3932
93	405	3909
94	407	3884
95	409	3856
96	411	3830
97	413	3804
98	415	3778
99	416	3751
100	418	3728
101	420	3706
102	422	3682
103	424	3659
104	426	3636
105	428	3614
106	430	3591
107	432	3570
108	434	3551
109	436	3532
110	438	3510
111	440	3489
112	442	3470
113	444	3451
114	445	3430
115	447	3408
116	449	3390
117	451	3374
118	453	3358
119	455	3339
120	457	3322
121	459	3303
122	460	3286
123	462	3270
124	465	3255
125	467	3240
126	468	3223
127	470	3207
128	472	3192
129	474	3176
130	476	3160
131	478	3145
132	480	3133
133	482	3120
134	485	3108
135	486	3093
136	488	3079
137	490	3066
138	493	3055
139	496	3052
140	499	3042
141	501	3028
142	503	3019
143	505	3005
144	508	2995
145	510	2984
146	512	2974
147	515	2966
148	517	2954
149	519	2943
150	521	2933
151	524	2926
152	526	2916
153	529	2907
154	531	2898
155	540	2924
156	542	2914
157	544	2904
158	547	2894
159	549	2884
160	550	2870
161	552	2860
162	555	2851
163	557	2842
164	559	2831
165	561	2821
166	563	2810
167	565	2799
168	567	2789
169	570	2783
170	572	2774
171	574	2763
172	575	2753
173	578	2743
174	579	2733
175	581	2723
176	583	2715
177	585	2705
178	587	2695
179	589	2686
